"oocyte","rate","activity"
"oocyte_1",108.93055092555,"active"
"oocyte_2",45.2247860463085,"active"
"oocyte_3",2.00879256695584,"active"
"oocyte_4",0,"active"
"oocyte_5",0,"active"
"oocyte_1",73.1681828667757,"active"
"oocyte_2",74.1972708486826,"active"
"oocyte_3",51.8845493602689,"active"
"oocyte_4",1.78104493223058,"active"
"oocyte_5",0,"active"
"oocyte_1",93.1355955548548,"active"
"oocyte_2",86.9985314921484,"active"
"oocyte_3",29.7314592088852,"active"
"oocyte_4",6.5216815758202,"active"
"oocyte_5",-2.61393390684552,"active"
"oocyte_1",93.6643213614907,"active"
"oocyte_2",36.1073550537236,"active"
"oocyte_3",-0.024132293089956,"active"
"oocyte_4",6.67127004624619,"active"
"oocyte_1",26.7104370358681,"active"
"oocyte_2",0,"active"
"oocyte_1",112.002606721262,"active"
"oocyte_2",50.7816261684719,"active"
"oocyte_3",10.8094099499047,"active"
"oocyte_4",15.7526102427751,"active"
"oocyte_1",100.58020882619,"active"
"oocyte_2",26.1685255482051,"active"
"oocyte_3",1.14822008639299,"active"
"oocyte_4",0,"active"
"oocyte_5",0,"active"
"oocyte_1",124.911181290763,"active"
"oocyte_2",0,"active"
"oocyte_3",0,"active"
"oocyte_1",119.594833169907,"active"
"oocyte_2",69.7225308956402,"active"
"oocyte_3",6.10804177949712,"active"
"oocyte_4",0,"active"
"oocyte_1",67.8948712907977,"active"
"oocyte_2",19.2901829975776,"active"
"oocyte_3",0,"active"
"oocyte_4",0,"active"
"oocyte_1",117.976379944849,"active"
"oocyte_2",85.996183470712,"active"
"oocyte_3",17.4743815450401,"active"
"oocyte_4",-0.173750984414205,"active"
"oocyte_1",116.067908136419,"active"
"oocyte_2",68.8085295759682,"active"
"oocyte_3",2.58672278113644,"active"
"oocyte_4",0,"active"
"oocyte_5",0,"active"
"oocyte_1",77.8733749552674,"active"
"oocyte_2",64.9953490042264,"active"
"oocyte_3",12.6526486928324,"active"
"oocyte_4",0,"active"
"oocyte_5",0,"active"
"oocyte_1",124.760766239579,"active"
"oocyte_2",66.6262828992529,"active"
"oocyte_3",0.457788320471576,"active"
"oocyte_4",2.56973014692656,"active"
"oocyte_1",109.47888270069,"active"
"oocyte_2",67.5089607036443,"active"
"oocyte_3",17.5203705101829,"active"
"oocyte_4",-1.15114121288209,"active"
"oocyte_1",41.5450485662394,"active"
"oocyte_2",74.2679070535027,"active"
"oocyte_3",18.186360355173,"active"
"oocyte_1",75.251770078203,"active"
"oocyte_2",41.0538030915756,"active"
"oocyte_3",0,"active"
"oocyte_4",0,"active"
"oocyte_1",66.8768198367819,"active"
"oocyte_2",24.9842004685346,"active"
"oocyte_3",0,"active"
"oocyte_4",0,"active"
"oocyte_1",88.709846207144,"active"
"oocyte_2",52.6659932598238,"active"
"oocyte_3",18.9478652170042,"active"
"oocyte_4",0,"active"
"oocyte_1",87.1369470635998,"active"
"oocyte_2",60.742440191052,"active"
"oocyte_3",10.462884058326,"active"
"oocyte_1",98.7572172625589,"active"
"oocyte_2",40.9582839876498,"active"
"oocyte_3",0.690882664802751,"active"
"oocyte_4",0,"active"
"oocyte_1",57.5778963590425,"active"
"oocyte_2",0,"active"
"oocyte_3",0,"active"
"oocyte_1",111.352082550374,"active"
"oocyte_2",24.021860396511,"active"
"oocyte_3",-15.5163606171596,"active"
"oocyte_4",23.2554337280721,"active"
"oocyte_1",120.40790296342,"active"
"oocyte_2",68.0490052860131,"active"
"oocyte_1",0.930008932931328,"quiescent"
"oocyte_2",1.44045818459698,"quiescent"
"oocyte_3",1.3753277111859,"quiescent"
"oocyte_4",0.204513528158351,"quiescent"
"oocyte_5",1.14302684978402,"quiescent"
"oocyte_1",1.76665359540224,"quiescent"
"oocyte_2",4.43817586091528,"quiescent"
"oocyte_3",2.43445595362065,"quiescent"
"oocyte_4",1.64463971280545,"quiescent"
"oocyte_5",-0.31584425189079,"quiescent"
"oocyte_1",1.78504580591615,"quiescent"
"oocyte_2",0.44062949083994,"quiescent"
"oocyte_3",1.38338798758259,"quiescent"
"oocyte_4",0.438776597207114,"quiescent"
"oocyte_5",0.598393600157496,"quiescent"
"oocyte_1",16.0899007809764,"quiescent"
"oocyte_2",2.32808023498405,"quiescent"
"oocyte_3",2.30128674783942,"quiescent"
"oocyte_4",0.605053002326343,"quiescent"
"oocyte_5",0.318396605233524,"quiescent"
"oocyte_1",9.66037574856549,"quiescent"
"oocyte_2",-0.963926905269305,"quiescent"
"oocyte_3",1.23181771126056,"quiescent"
"oocyte_4",1.23083250679248,"quiescent"
"oocyte_5",0.392225539927716,"quiescent"
"oocyte_1",12.8979873075072,"quiescent"
"oocyte_2",6.84964429713824,"quiescent"
"oocyte_3",2.94062698528927,"quiescent"
"oocyte_4",2.42333010016089,"quiescent"
"oocyte_5",0.512342565617556,"quiescent"
"oocyte_1",2.98256520200062,"quiescent"
"oocyte_2",3.78705107249924,"quiescent"
"oocyte_3",1.81092401837958,"quiescent"
"oocyte_4",0.487079587904483,"quiescent"
"oocyte_5",0.575422875007131,"quiescent"
"oocyte_1",11.6080546832661,"quiescent"
"oocyte_2",9.65155254181802,"quiescent"
"oocyte_3",3.09059562979049,"quiescent"
"oocyte_4",0.295265748665626,"quiescent"
"oocyte_5",0.140033910762219,"quiescent"
"oocyte_1",2.89342018582047,"quiescent"
"oocyte_2",2.88800602188112,"quiescent"
"oocyte_3",0.163271974169622,"quiescent"
"oocyte_4",1.09914793710815,"quiescent"
"oocyte_5",0.43902567623389,"quiescent"
"oocyte_1",6.84860322214824,"quiescent"
"oocyte_2",1.70316439569099,"quiescent"
"oocyte_3",0.255624031367084,"quiescent"
"oocyte_4",0.601321111525059,"quiescent"
"oocyte_5",0.0421864077842916,"quiescent"
"oocyte_1",5.76832493789217,"quiescent"
"oocyte_2",1.41053418751868,"quiescent"
"oocyte_3",0,"quiescent"
"oocyte_4",0,"quiescent"
"oocyte_5",0,"quiescent"
"oocyte_1",6.39959360239177,"quiescent"
"oocyte_2",3.12746456155169,"quiescent"
"oocyte_3",1.5109617065674,"quiescent"
"oocyte_4",0.608486565519765,"quiescent"
"oocyte_5",-0.285449687238084,"quiescent"
"oocyte_1",2.88186712525526,"quiescent"
"oocyte_2",2.33911203047748,"quiescent"
"oocyte_3",0.953205550290746,"quiescent"
"oocyte_4",-0.0756380740178718,"quiescent"
"oocyte_5",0.174067429791026,"quiescent"
"oocyte_1",0.290261479328496,"quiescent"
"oocyte_2",0.470757070323754,"quiescent"
"oocyte_3",0.899530287446018,"quiescent"
"oocyte_4",1.54228038154551,"quiescent"
"oocyte_5",0.776062778831371,"quiescent"
"oocyte_1",1.38406585964472,"quiescent"
