"oocyte","activity","N","rate","sd","se","ci","ci_lwr","ci_upr"
"oocyte_1","active",24,92.2652346628177,26.8182818882887,5.47425886703593,11.3243672666978,80.9408673961199,103.589601929516
"oocyte_1","quiescent",24,5.3819146190896,4.60286572590798,0.939556031918321,1.94361973584296,3.43829488324664,7.32553435493256
"oocyte_2","active",24,47.882067018301,26.719284115172,5.45405103121861,11.2825641733442,36.5995028449568,59.1646311916452
"oocyte_2","quiescent",24,2.7395270897206,2.31088732588909,0.471707900124414,0.975802137487157,1.76372495223344,3.71532922720776
"oocyte_3","active",22,8.41499473575566,13.7967983001956,2.94148728101556,6.11715767369035,2.29783706206532,14.532152409446
"oocyte_3","quiescent",24,1.64011635788208,1.2631809291302,0.257845727431979,0.533394526366199,1.10672183151588,2.17351088424828
"oocyte_4","active",18,3.06815991526525,6.49743911879483,1.53146108708219,3.23110045837155,-0.162940543106304,6.2992603736368
"oocyte_4","quiescent",24,0.994733240576283,0.898906215162022,0.183488462813619,0.379574805023484,0.615158435552798,1.37430804559977
"oocyte_5","active",6,-0.43565565114092,1.06713404885521,0.43565565114092,1.11988850341516,-1.55554415455608,0.684232852274239
"oocyte_5","quiescent",24,0.425858204720239,0.661985182971138,0.135127159630187,0.279531827143296,0.146326377576943,0.705390031863536
