image_ID_name,Cell,granule,Surface_Area,Volume,sphericity,MeanInt,CumInt,MedianInt,Volume_um3
w11-3,1,1,590.389908220739,756,0.679766455364869,475.756613756614,359672,403,1.70151532771752
w11-3,1,2,93.0991024468599,60,0.79610948344669,313.5,18810,289.5,0.1350408990252
w11-3,1,3,235.05551252518,152,0.58597093608491,371.421052631579,56456,350.5,0.34210361086384
w11-3,1,4,254.760937232095,196,0.6405042278618,447.413265306122,87693,429.5,0.44113360348232
w11-3,1,5,820.096734848512,1196,0.664415611185339,600.313545150502,717975,516,2.69181525390232
w11-3,1,6,94.8646163904559,56,0.74617132325477,378.5,21196,369,0.12603817242352
w11-3,1,7,68.0916241676673,32,0.71585283621685,319.625,10228,324.5,0.07202181281344
w11-3,1,8,1658.35165165151,2540,0.542870998565521,751.203937007874,1908058,627,5.7167313920668
w11-3,1,9,200.265921821353,184,0.781188100315875,471.755434782609,86803,444,0.41412542367728
w11-3,1,10,322.291863073124,337,0.726643485017355,407.804154302671,137430,369,0.75847971619154
w11-3,1,11,1489.80506246131,1912,0.500049814773907,676.452928870293,1293378,516,4.30330331560304
w11-3,1,12,777.28614434725,672,0.477327050648192,575.127976190476,386486,475.5,1.51245806908224
w11-3,1,13,4462.5530560051,7808,0.426508085192826,652.324026639344,5093346,514,17.5733223264794
w11-3,1,14,136.833495122619,100,0.761421328017651,417.2,41720,407,0.225068165042
w11-3,1,15,128.561070294502,68,0.626682047384876,405.470588235294,27572,404,0.15304635222856
w11-3,1,16,2081.80458679069,2408,0.417332126692712,601.298172757475,1447926,461,5.41964141421136
w11-3,1,17,240.630011059577,248,0.793296346236375,411.020161290323,101933,400.5,0.55816904930416
w11-3,1,18,94.7002174464715,68,0.8507574419424,407.426470588235,27705,402,0.15304635222856
w11-3,1,19,211.835678546114,172,0.706053018734635,498.970930232558,85823,493,0.38711724387224
w11-3,1,20,322.062417637092,276,0.636526951600696,532.38768115942,146939,481.5,0.62118813551592
w11-3,1,21,962.596690273526,768,0.421321776852288,435.481770833333,334450,391,1.72852350752256
w11-3,1,22,261.275197105269,235,0.704851857577147,473.51914893617,111277,430,0.5289101878487
w11-3,1,23,119.335940006893,64,0.648384835183105,312.828125,20021,301,0.14404362562688
w11-3,1,24,91.8997985713922,44,0.655850241286971,374.181818181818,16464,355.5,0.09902999261848
w11-3,1,25,2914.83838830643,3196,0.359976506343882,611.875469336671,1955554,497,7.19317855474232
w11-3,1,26,86.3363652152605,52,0.78035567452665,354.557692307692,18437,352.5,0.11703544582184
w11-3,1,27,84.6512134964933,48,0.754533328671495,323,15504,318.5,0.10803271922016
w11-3,1,28,2244.18052103959,4040,0.546613784363811,587.052722772277,2371693,496,9.0927538676968
w11-3,1,29,5654.70486308304,11004,0.423098257100507,728.74963649582,8019161,623,24.7665008812217
w11-3,1,30,944.316382079069,1500,0.671059104956136,541.021333333333,811532,472.5,3.37602247563
w11-3,1,31,99.3164570846024,64,0.77908149428728,341.578125,21861,331,0.14404362562688
w11-3,1,32,1102.53180175646,1184,0.490901245716149,657.936655405405,778997,542.5,2.66480707409728
w11-3,1,33,456.870897974709,308,0.482752398823759,403.418831168831,124253,327.5,0.69320994832936
w11-3,1,34,132.837446866398,96,0.763269239031051,366.916666666667,35224,359.5,0.21606543844032
w11-3,1,35,1145.40120018621,1840,0.633974377571372,621.384239130435,1143347,544.5,4.1412542367728
w11-3,1,36,723.718756367212,716,0.534797839931089,493.195530726257,353128,462,1.61148806170072
w11-3,1,37,122.054159409981,76,0.710897961040125,381.25,28975,369,0.17105180543192
w11-3,1,38,1149.2880919992,1136,0.45811457078068,433.858274647887,492863,387.5,2.55677435487712
w11-3,1,39,268.847068326647,240,0.694682428650458,484.079166666667,116179,445,0.5401635961008
w11-3,1,40,1982.31446113572,3196,0.529317300635755,792.437421777222,2532630,667.5,7.19317855474232
w11-3,1,41,789.843597618176,1012,0.617158475150751,646.103754940711,653857,570,2.27768983022504
w11-3,1,42,675.557601026094,808,0.621006263050785,725.079207920792,585864,583.5,1.81855077353936
w11-3,1,43,984.435668453195,1400,0.614773974588715,591.490714285714,828087,493.5,3.150954310588
w11-3,1,44,365.268004638749,372,0.684806360685869,455.701612903226,169521,420.5,0.83725357395624
w11-3,1,45,317.630828357028,292,0.670116088628093,339.715753424658,99197,327.5,0.65719904192264
w11-3,1,46,116.814012200327,76,0.742788056215557,319.723684210526,24299,320,0.17105180543192
w11-3,1,47,59.2382495988299,32,0.822839678976592,294.09375,9411,282.5,0.07202181281344
w11-3,1,48,524.72694720938,688,0.718251236186848,547.162790697674,376448,495.5,1.54846897548896
w11-3,1,49,65.2930425397514,36,0.807518012659846,296.111111111111,10660,298.5,0.08102453941512
w11-3,1,50,427.6317965063,440,0.654208103278859,459.388636363636,202131,422.5,0.9902999261848
w11-3,1,51,622.044728724743,880,0.713922317531757,470.618181818182,414144,435,1.9805998523696
w11-3,1,52,66.2457479992425,36,0.795904787018447,328.361111111111,11821,326,0.08102453941512
w11-3,1,53,61.6669127551385,36,0.85500158182998,296.666666666667,10680,301.5,0.08102453941512
w11-3,1,54,107.682146562977,52,0.625666135605232,327.903846153846,17051,316,0.11703544582184
w11-3,1,55,113.845499039295,75,0.755455872632349,319.693333333333,23977,310,0.1688011237815
w11-3,1,56,297.768395390067,296,0.721328897878802,394.966216216216,116910,378.5,0.66620176852432
w11-3,1,57,182.688004480799,144,0.727247807429709,351.013888888889,50546,351,0.32409815766048
w11-3,1,58,693.937946799273,916,0.65729521416482,452.89192139738,414849,414,2.06162439178472
w11-3,1,59,210.107548148903,163,0.686806198352994,334.036809815951,54448,322,0.36686110901846
w11-3,1,60,263.375062373609,256,0.74029153472232,453.10546875,115995,427.5,0.57617450250752
w11-3,1,61,134.615863235423,96,0.753185653961348,385.322916666667,36991,385,0.21606543844032
w11-3,1,62,189.230482512184,160,0.75319312896885,412.00625,65921,402,0.3601090640672
w11-3,1,63,214.037994700528,184,0.730923288851221,338.929347826087,62363,325.5,0.41412542367728
w11-3,1,64,74.7273668493091,44,0.80656535361153,314.431818181818,13835,304.5,0.09902999261848
w11-3,1,65,75.4242459617218,52,0.893254836752707,313.461538461538,16300,312,0.11703544582184
w11-3,1,66,99.2698247594737,64,0.779447470369452,330.359375,21143,321,0.14404362562688
w11-3,1,67,1467.963629279,2136,0.546390317354387,482.042602996255,1029643,423,4.80745600529712
w11-3,1,68,1229.20897373303,1708,0.562147538401892,496.521662763466,848059,426.5,3.84416425891736
w11-3,1,69,1661.59564566588,3108,0.619839790824013,514.315315315315,1598492,439,6.99511856950536
w11-3,1,70,360.061052963891,356,0.674643969423503,417.955056179775,148792,402,0.80124266754952
w11-3,1,71,148.290996970014,104,0.721204175357031,415.048076923077,43165,389,0.23407089164368
w11-3,1,72,225.691788144445,204,0.742543348229445,409.607843137255,83560,399.5,0.45913905668568
w11-3,1,73,66.281315146106,32,0.735404573303795,336.875,10780,340,0.07202181281344
w11-3,1,74,105.823367969123,68,0.761333874477106,321.073529411765,21833,305,0.15304635222856
w11-3,1,75,87.0798766528019,52,0.773692787627141,355.538461538462,18488,341.5,0.11703544582184
w11-3,1,76,1510.27474268947,2592,0.604205716395615,548.536265432099,1421806,481,5.83376683788864
w11-3,1,77,173.575129070557,124,0.692805113344023,371.532258064516,46070,371.5,0.27908452465208
w11-3,1,78,59.6866722004602,33,0.833584029330543,293.030303030303,9670,279,0.07427249446386
w11-3,1,79,110.807688831698,76,0.783050833167457,351.776315789474,26735,346,0.17105180543192
w11-3,1,80,72.496832536685,44,0.83138121981774,345.363636363636,15196,337.5,0.09902999261848
w11-3,1,81,282.620978452985,192,0.569482716499297,338.385416666667,64970,335.5,0.43213087688064
w11-3,1,82,70.2773634023261,40,0.804838344389778,363.025,14521,366,0.0900272660168
w11-3,1,83,125.101176701036,88,0.764794068861487,362.727272727273,31920,370,0.19805998523696
w11-3,1,84,656.297588705626,549,0.494043146281192,354.828779599271,194801,337,1.23562422608058
w11-3,1,85,269.710183630207,236,0.684743810176638,340.572033898305,80375,321,0.53116086949912
w11-3,1,86,107.798075934669,72,0.776416541603369,289.333333333333,20832,289.5,0.16204907883024
w11-3,1,87,60.8430390927684,32,0.801136547579688,275.4375,8814,270.5,0.07202181281344
w11-3,1,88,131.978006057165,84,0.702805933115618,306.202380952381,25721,306,0.18905725863528
w11-3,1,89,722.956254702562,1024,0.679577110965829,392.7900390625,402217,336,2.30469801003008
w11-3,1,90,198.862935665426,180,0.775256259740592,367.461111111111,66143,355.5,0.4051226970756
w11-3,1,91,78.3424314556568,48,0.815294607389653,308.6875,14817,309.5,0.10803271922016
w11-3,1,92,199.279486462162,144,0.666699082083377,387.263888888889,55766,381,0.32409815766048
w11-3,1,93,423.680543328045,468,0.688033376184475,451.891025641026,211485,425,1.05331901239656
w11-3,1,94,460.72463594819,508,0.668269792680482,383.015748031496,194572,343.5,1.14334627841336
w11-3,1,95,1591.89923200427,2228,0.518217421347435,388.770197486535,866180,346.5,5.01451871713576
w11-3,1,96,146.932805892052,100,0.709085632313488,339.13,33913,329.5,0.225068165042
w11-3,1,97,847.512583174646,1228,0.65434011710319,457.542345276873,561862,428,2.76383706671576
w11-3,1,98,2046.26168065803,3663,0.561583361479081,608.178542178542,2227758,556,8.24424688548846
w11-3,1,99,109.367298281744,72,0.765276372586996,307.402777777778,22133,305.5,0.16204907883024
w11-3,1,100,394.856155409209,384,0.647042331953991,303.200520833333,116429,289.5,0.86426175376128
w11-3,1,101,69.4516524927925,32,0.701834737310172,397.5625,12722,415.5,0.07202181281344
w11-3,1,102,153.975871439328,112,0.729754534466782,335.776785714286,37607,324,0.25207634484704
w11-3,1,103,90.9489303590646,56,0.778296743707308,318.803571428571,17853,312.5,0.12603817242352
w11-3,1,104,307.832139012638,272,0.659501974935708,361.75,98396,335.5,0.61218540891424
w11-3,1,105,1188.49089951146,1588,0.553845454761496,528.641057934509,839482,502,3.57408246086696
w11-3,1,106,239.357693947934,192,0.672415245545042,374.802083333333,71962,360.5,0.43213087688064
w11-3,1,107,60.9234013175971,32,0.800079792474707,367.1875,11750,372,0.07202181281344
w11-3,1,108,740.491748577219,988,0.647841150583331,429.208502024291,424058,395,2.22367347061496
w11-3,1,109,300.849142580823,288,0.701019886577209,369.729166666667,106482,354,0.64819631532096
w11-3,1,110,66.8959947865264,36,0.788168381686646,334.583333333333,12045,331.5,0.08102453941512
w11-3,1,111,673.828915416336,992,0.713853230208322,459.815524193548,456137,411.5,2.23267619721664
w11-3,1,112,446.536012272279,436,0.622709217557326,346.467889908257,151060,326.5,0.98129719958312
w11-3,1,113,93.0991024468599,60,0.79610948344669,251.85,15111,248,0.1350408990252
w11-3,1,114,320.866788255951,348,0.745668024007838,344.468390804598,119875,320,0.78323721434616
w11-3,1,115,242.529868541784,236,0.761483028431901,330.906779661017,78094,324.5,0.53116086949912
w11-3,1,116,191.672048093921,124,0.627393186253767,303.596774193548,37646,303.5,0.27908452465208
w11-3,1,117,388.590331199174,296,0.552738787419199,321.094594594595,95044,312.5,0.66620176852432
w11-3,1,118,59.4363784425144,32,0.820096775078249,315.09375,10083,309.5,0.07202181281344
