image_ID_name,Cell,granule,Surface_Area,Volume,sphericity,MeanInt,CumInt,MedianInt,Volume_um3
w11-2,1,1,318.239996255958,340,0.740256066498158,762.111764705882,259118,629.5,0.7652317611428
w11-2,1,2,62.8177470583141,36,0.839337773500053,441.722222222222,15902,427.5,0.08102453941512
w11-2,1,3,3153.24647522901,5580,0.482483358094879,1334.75537634409,7447935,1034,12.5588036093436
w11-2,1,4,2332.5970761693,5392,0.637496277640443,1139.12277448071,6142150,938.5,12.1356754590646
w11-2,1,5,4370.69913726074,6552,0.387420387666719,1235.78556166056,8096867,938,14.7464661735518
w11-2,1,6,637.695188180354,324,0.357740127953895,451.598765432099,146318,438,0.72922085473608
w11-2,1,7,191.959767093536,88,0.49842026481479,377,33176,369.5,0.19805998523696
w11-2,1,8,7154.06989499793,13914,0.3910499892575,1054.87192755498,14677488,836,31.3159844839439
w11-2,1,9,1397.92609136419,2404,0.620806453040368,961.083194675541,2310444,844,5.41063868760968
w11-2,1,10,3417.03441390503,8468,0.58797023065312,1238.69815777043,10489296,1178,19.0587722157566
w11-2,1,11,419.647090677798,472,0.698598915306774,561.550847457627,265052,520.5,1.06232173899824
w11-2,1,12,1226.28525564996,2230,0.673125216000194,816.75067264574,1821354,778,5.0190200804366
w11-2,1,13,417.692654973977,490,0.719600306200803,615.75306122449,301719,494.5,1.1028340087058
w11-2,1,14,125.099339453873,88,0.76480530086111,383.715909090909,33767,364,0.19805998523696
w11-2,1,15,450.043799377847,486,0.664232602456887,588.069958847737,285802,505,1.09383128210412
w11-2,1,16,1354.55973821759,2556,0.667410745466245,675.217527386542,1725856,527.5,5.75274229847352
w11-2,1,17,1181.21038008874,2112,0.673937277204804,649.178977272727,1371066,523.5,4.75343964568704
w11-2,1,18,2189.59715098387,3732,0.531391163866968,802.353429796356,2994383,699.5,8.39954391936744
w11-2,1,19,1434.38126749948,2156,0.562667750294797,528.145176252319,1138681,462.5,4.85246963830552
w11-2,1,20,1502.56914568495,2288,0.558839383150007,871.971153846154,1995070,750,5.14955961616096
w11-2,1,21,386.124263648839,456,0.741993771715629,522.989035087719,238483,480,1.02631083259152
w11-2,1,22,266.186546426954,232,0.685946134052662,384.581896551724,89223,358,0.52215814289744
w11-2,1,23,659.52624131118,668,0.560320294694233,540.013473053892,360729,473.5,1.50345534248056
w11-2,1,24,95.7706895248183,60,0.773901479941973,343.25,20595,323.5,0.1350408990252
w11-2,1,25,74.4378106025307,44,0.809702818761068,305.409090909091,13438,292,0.09902999261848
w11-2,1,26,642.87522457926,616,0.544600342609327,533.834415584416,328842,487.5,1.38641989665872
w11-2,1,27,638.36017464023,336,0.366137763634411,328.005952380952,110210,320,0.75622903454112
w11-2,1,28,126.330535981877,80,0.710726393629155,364.0125,29121,347,0.1800545320336
w11-2,1,29,512.489105590605,279,0.40290465863815,323.756272401434,90328,313,0.62794018046718
w11-2,1,30,68.0916241676673,32,0.71585283621685,351.125,11236,364.5,0.07202181281344
w11-2,1,31,100.672810915401,48,0.634452950253517,348.645833333333,16735,346.5,0.10803271922016
w11-2,2,1,3934.35322938626,8776,0.522968084310342,1143.14129443938,10032208,898,19.7519821640859
w11-2,2,2,729.538550435326,956,0.643291490778059,795.553347280335,760549,684.5,2.15165165780152
w11-2,2,3,472.688813113157,488,0.634145159268578,627.743852459016,306339,561,1.09833264540496
w11-2,2,4,1674.72842786944,2316,0.505473938399255,1059.8432642487,2454597,946,5.21257870237272
w11-2,2,5,1929.18517824876,4408,0.673914185993736,1064.86864791289,4693941,847,9.92100471505136
w11-2,2,6,658.902909799847,332,0.351901745889147,422.373493975904,140228,416,0.74722630793944
w11-2,2,7,2398.59806299973,5620,0.637310180808256,1160.42366548043,6521581,1026,12.6488308753604
w11-2,2,8,2176.64906083366,4188,0.577253833940499,844.00405921681,3534689,715,9.42585475195896
w11-2,2,9,336.191506562446,284,0.621502596198849,725.528169014084,206050,699,0.63919358871928
w11-2,2,10,1817.61487868581,2336,0.468415021954945,1078.84974315068,2520193,791.5,5.25759233538112
w11-2,2,11,5877.72253694719,8244,0.335763666692858,1071.33175642892,8832059,854,18.5546195260625
w11-2,2,12,604.870459755496,744,0.656453104093188,634.674731182796,472198,577.5,1.67450714791248
w11-2,2,13,116.931778819183,74,0.728963944180284,502.702702702703,37200,481.5,0.16655044213108
w11-2,2,14,3732.64328421591,9048,0.562560667728261,1103.42650309461,9983803,969,20.3641675730002
w11-2,2,15,105.61233670001,68,0.762855148021181,479.014705882353,32573,466.5,0.15304635222856
w11-2,2,16,1625.46313792158,2521,0.551089618592558,600.953193177311,1515003,514,5.67396844070882
w11-2,2,17,198.001657609029,176,0.767050122520672,514.056818181818,90474,481.5,0.39611997047392
w11-2,2,18,1491.60625261836,3035,0.679624551740521,981.178583196046,2977877,800,6.8308188090247
w11-2,2,19,102.486794431289,64,0.754981304880855,471.953125,30205,458,0.14404362562688
w11-2,2,20,376.178286645124,424,0.725550487340276,618.11320754717,262080,543,0.95428901977808
w11-2,2,21,2224.95118187997,3972,0.545133826044712,727.528449144008,2889743,568,8.93970751546824
w11-2,2,22,1197.26696859432,2232,0.689851983091731,822.812275985663,1836517,720.5,5.02352144373744
w11-2,2,23,3879.90431193574,7784,0.489551434752466,797.891315519013,6210786,695,17.5193059668693
w11-2,2,24,357.783886326139,404,0.738670787369668,577.39603960396,233268,515,0.90927538676968
w11-2,2,25,92.3034260950572,61,0.811869437997409,391.950819672131,23909,393,0.13729158067562
w11-2,2,26,452.278584244987,476,0.651852600232387,463.901260504202,220817,448.5,1.07132446559992
