"X_coodinate_cell_0","y_coodinate_cell_0","X_coodinate_cell_1","y_coodinate_cell_1","X_coodinate_cell_2","y_coodinate_cell_2","X_coodinate_cell_3","y_coodinate_cell_3"
"609","586","1230","278","900","740","994","1129"
"650","578","1140","349","1014","737","1086","1152"
"728","478","997","430","1153","760","1124","1093"
"696","334","901","473","1262","728","1226","857"
"653","194","836","478","1292","658","1248","760"
"630","85","808","468","1300","548","1216","744"
"573","84","750","478","1293","418","1153","762"
"434","205","730","476","1262","277","1013","736"
"350","325","698","344","1228","278","898","740"
"318","376","665","233","1141","350","817","753"
"344","414","629","84","1002","428","761","710"
"428","453","685","29","904","473","728","810"
"504","508","824","5","837","478","694","898"
"","","945","16","804","533","722","974"
"","","1090","72","769","644","814","1040"
"","","1189","157","772","717","",""
"","","1228","225","816","753","",""
